category_name,category_url,is_page_list
Agrès et accessoires de jeu,/c/agres-et-accessoires-de-jeu,True
Bac à sable,/c/bac-a-sable,True
Trampoline,/c/trampoline,True
Cabane & maisonnette pour enfants,/c/cabane-et-maisonnette-pour-enfants,True
Toboggan d'extérieur,/c/toboggan-d-exterieur,True
Jouet gonflable pour piscine,/c/jouet-gonflable-pour-piscine,True
Balançoire & portique,/c/balancoire-et-portique,True
Aire de jeux,/c/aire-de-jeux,True
Voile d'ombrage,/c/voile-d-ombrage,True
Store vélum,/c/store-velum,True
Parasol & accessoires,/c/parasol-et-accessoires,False
"Tonnelle, pergola & accessoires",/c/tonnelle-pergola-et-accessoires,False
Accessoires & ustensiles pour barbecue,/c/accessoires-et-ustensiles-pour-barbecue,True
Charbon de bois & allume-feux pour barbecue,/c/charbon-de-bois-et-allume-feux-pour-barbecue,True
Plancha,/c/plancha,True
Barbecue,/c/barbecue,False
Housse pour parasol,/c/housse-pour-parasol,True
Accessoires pour tonnelle & pergola,/c/accessoires-pour-tonnelle-et-pergola,False
Tonnelle & pergola en bois,/c/tonnelle-et-pergola-en-bois,True
Tonnelle & pergola en métal,/c/tonnelle-et-pergola-en-metal,True
Parasol en bois,/c/parasol-en-bois,True
Barbecue fixe,/c/barbecue-fixe,True
Barbecue électrique,/c/barbecue-electrique,True
Moustiquaire d'extérieur,/c/moustiquaire-d-exterieur,True
Barbecue à gaz,/c/barbecue-a-gaz,True
Barbecue à charbon de bois,/c/barbecue-a-charbon-de-bois,True
Pied de parasol,/c/pied-de-parasol,True
Parasol en aluminium,/c/parasol-en-aluminium,True
Clôture & grillage,/c/cloture-et-grillage,False
"Brise-vue, panneau & palissade",/c/brise-vue-panneau-et-palissade,False
Produit d'entretien pour spa & piscine,/c/produit-d-entretien-pour-spa-et-piscine,True
Pompe & filtre pour piscine ou spa,/c/pompe-et-filtre-pour-piscine-ou-spa,True
Spa gonflable & accessoires,/c/spa-gonflable-et-accessoires,True
Piscine & accessoires,/c/piscine-et-accessoires,False
Accessoires pour pose de clôture,/c/accessoires-pour-pose-de-cloture,True
Panneau & palissade en bois,/c/panneau-et-palissade-en-bois,True
Accessoires pour pose de brise-vue,/c/accessoires-pour-pose-de-brise-vue,True
Panneau & palissade en bois composite,/c/panneau-et-palissade-en-bois-composite,True
Brise-vue en plastique,/c/brise-vue-en-plastique,True
Piscine en bois,/c/piscine-en-bois,True
Accessoires pour piscine,/c/accessoires-pour-piscine,True
Piscine tubulaire,/c/piscine-tubulaire,True
Piscine autoportante,/c/piscine-autoportante,True
Piscine en acier,/c/piscine-en-acier,True
Panneau décoratif en métal,/c/panneau-decoratif-en-metal,True
Canisse & brise-vue naturel,/c/canisse-et-brise-vue-naturel,True
Clôture en plastique,/c/cloture-en-plastique,True
Clôture en fibre naturelle,/c/cloture-en-fibre-naturelle,True
Clôture en bois,/c/cloture-en-bois,True
Clôture en métal,/c/cloture-en-metal,True
Gazon synthétique,/c/gazon-synthetique,True
Bordure de jardin,/c/bordure-de-jardin,False
Galets & pas japonais,/c/galets-et-pas-japonais,False
Bassin & accessoires,/c/bassin-et-accessoires,False
"Pot, bac & jardinière",/c/pot-bac-et-jardiniere,False
Serre de jardin & accessoires,/c/serre-de-jardin-et-accessoires,False
Mobilier de jardin,/c/mobilier-de-jardin,False
Bordure de jardin en fibre naturelle,/c/bordure-de-jardin-en-fibre-naturelle,True
Pas japonais,/c/pas-japonais,True
Cascade pour bassin de jardin,/c/cascade-pour-bassin-de-jardin,True
Pot de fleur en résine,/c/pot-de-fleur-en-resine,True
Accessoires de serre,/c/accessoires-de-serre,False
Parasol chauffant & accessoires,/c/parasol-chauffant-et-accessoires,False
Hamac,/c/hamac,True
Coussin d'extérieur,/c/coussin-d-exterieur,False
Housse pour mobilier de jardin,/c/housse-pour-mobilier-de-jardin,True
Mobilier de jardin pour enfant,/c/mobilier-de-jardin-pour-enfant,False
Bâche pour serre tunnel,/c/bache-pour-serre-tunnel,True
Parasol chauffant électrique,/c/parasol-chauffant-electrique,True
Parasol chauffant à gaz,/c/parasol-chauffant-a-gaz,True
Coussin monobloc,/c/coussin-monobloc,True
Galette & coussin pour chaise de jardin,/c/galette-et-coussin-pour-chaise-de-jardin,True
Fauteuil de jardin pour enfant,/c/fauteuil-de-jardin-pour-enfant,True
Chaise de jardin pour enfant,/c/chaise-de-jardin-pour-enfant,True
Table de jardin pour enfant,/c/table-de-jardin-pour-enfant,True
Salon de jardin pour enfant,/c/salon-de-jardin-pour-enfant,True
Coussin multiposition pour fauteuil de jardin,/c/coussin-multiposition-pour-fauteuil-de-jardin,True
Coussin pour bain de soleil,/c/coussin-pour-bain-de-soleil,True
Bain de soleil,/c/bain-de-soleil,False
Balancelle de jardin,/c/balancelle-de-jardin,True
Transat & chaise longue,/c/transat-et-chaise-longue,True
Chaise de jardin,/c/chaise-de-jardin,False
Banc de jardin,/c/banc-de-jardin,True
Fauteuil de jardin,/c/fauteuil-de-jardin,False
Bain de soleil en pierre,/c/bain-de-soleil-en-pierre,True
Bain de soleil en bois composite,/c/bain-de-soleil-en-bois-composite,True
Bain de soleil en résine tressée,/c/bain-de-soleil-en-resine-tressee,True
Chaise de jardin en résine tressée,/c/chaise-de-jardin-en-resine-tressee,True
Chaise de jardin en résine,/c/chaise-de-jardin-en-resine,True
Fauteuil de jardin en résine tressée,/c/fauteuil-de-jardin-en-resine-tressee,True
Fauteuil d'extérieur pliable,/c/fauteuil-d-exterieur-pliable,True
Fauteuil de jardin en résine,/c/fauteuil-de-jardin-en-resine,True
Fauteuil de jardin en bois,/c/fauteuil-de-jardin-en-bois,True
Fauteuil de jardin en métal,/c/fauteuil-de-jardin-en-metal,True
Chaise de jardin en bois,/c/chaise-de-jardin-en-bois,True
Chaise d'extérieur pliable,/c/chaise-d-exterieur-pliable,True
Chaise de jardin en métal,/c/chaise-de-jardin-en-metal,True
Bain de soleil en bois,/c/bain-de-soleil-en-bois,True
Bain de soleil en métal,/c/bain-de-soleil-en-metal,True
Salon de jardin,/c/salon-de-jardin,False
Table de jardin,/c/table-de-jardin,False
Serre de jardin,/c/serre-de-jardin,False
Pot de fleur en pierre,/c/pot-de-fleur-en-pierre,False
Balconnière & jardinière pour balcon,/c/balconniere-et-jardiniere-pour-balcon,True
Suspension pour pot et jardinière,/c/suspension-pour-pot-et-jardiniere,False
Salon de jardin en résine tressée,/c/salon-de-jardin-en-resine-tressee,True
Table de jardin en bois composite,/c/table-de-jardin-en-bois-composite,True
Serre châssis,/c/serre-chassis,True
Pot en pierre rond,/c/pot-en-pierre-rond,True
Jardinière en pierre,/c/jardiniere-en-pierre,True
Suspension pour pot en terre cuite,/c/suspension-pour-pot-en-terre-cuite,True
Suspension pour pot en métal,/c/suspension-pour-pot-en-metal,True
Suspension pour pot en plastique,/c/suspension-pour-pot-en-plastique,True
Serre tunnel,/c/serre-tunnel,True
Serre de balcon,/c/serre-de-balcon,True
Mini serre,/c/mini-serre,True
Grande serre de jardin,/c/grande-serre-de-jardin,True
Serre en polycarbonate,/c/serre-en-polycarbonate,True
Serre en verre,/c/serre-en-verre,True
Table de jardin en résine tressée,/c/table-de-jardin-en-resine-tressee,True
Table de jardin en résine,/c/table-de-jardin-en-resine,True
Table de jardin en bois,/c/table-de-jardin-en-bois,True
Table d'extérieur pliable,/c/table-d-exterieur-pliable,True
Table de jardin en métal,/c/table-de-jardin-en-metal,True
Salon de jardin en bois composite,/c/salon-de-jardin-en-bois-composite,True
Salon d'extérieur pliable,/c/salon-d-exterieur-pliable,True
Salon de jardin en résine,/c/salon-de-jardin-en-resine,True
Salon de jardin en bois,/c/salon-de-jardin-en-bois,True
Salon de jardin en métal,/c/salon-de-jardin-en-metal,True
Pot de fleur en terre cuite émaillée,/c/pot-de-fleur-en-terre-cuite-emaillee,False
Pot de fleur en métal,/c/pot-de-fleur-en-metal,False
Pot de fleurs à réserve d'eau,/c/pot-de-fleurs-a-reserve-d-eau,False
